,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,LAC,Blake Griffin\griffbl01,Oklahoma,10,622,21671,13479,5501,2749,.498,.333,.694,34.8,21.7,8.8,4.4,75.2,.167,3.8,31.9
2,2,MEM,Hasheem Thabeet\thabeha01,UConn,5,224,2357,483,595,27,.567,,.578,10.5,2.2,2.7,0.1,4.8,.099,-2.7,-0.4
3,3,OKC,James Harden\hardeja01,Arizona State,11,826,28347,20723,4388,5193,.442,.363,.858,34.3,25.1,5.3,6.3,133.3,.226,6.9,63.6
4,4,SAC,Tyreke Evans\evansty01,Memphis,10,594,18242,9347,2720,2852,.440,.323,.757,30.7,15.7,4.6,4.8,28.4,.075,0.8,13.1
5,5,MIN,Ricky Rubio\rubiori01,,9,555,17172,6269,2357,4324,.391,.326,.840,30.9,11.3,4.2,7.8,36.4,.102,0.9,12.6
6,6,MIN,Jonny Flynn\flynnjo01,Syracuse,3,163,3738,1504,307,634,.400,.338,.809,22.9,9.2,1.9,3.9,-1.1,-.015,-4.0,-1.9
7,7,GSW,Stephen Curry\curryst01,Davidson,11,699,23998,16419,3158,4621,.476,.435,.906,34.3,23.5,4.5,6.6,103.2,.207,6.4,50.7
8,8,NYK,Jordan Hill\hilljo01,Arizona,8,409,7692,3232,2389,322,.497,.136,.699,18.8,7.9,5.8,0.8,16.4,.102,-2.0,0.0
9,9,TOR,DeMar DeRozan\derozde01,USC,11,813,27765,16283,3545,2893,.457,.283,.829,34.2,20.0,4.4,3.6,66.5,.115,0.4,16.5
10,10,MIL,Brandon Jennings\jennibr01,,9,555,16844,7801,1659,3151,.387,.345,.796,30.3,14.1,3.0,5.7,29.9,.085,0.8,11.8
11,11,NJN,Terrence Williams\willite01,Louisville,4,153,2922,1085,545,364,.412,.317,.659,19.1,7.1,3.6,2.4,-0.2,-.004,-2.8,-0.6
12,12,CHA,Gerald Henderson\hendege02,Duke,8,535,13854,5987,1716,1009,.440,.327,.793,25.9,11.2,3.2,1.9,18.3,.063,-1.8,0.6
13,13,IND,Tyler Hansbrough\hansbty01,UNC,7,428,7233,2881,1808,181,.439,.136,.738,16.9,6.7,4.2,0.4,20.2,.134,-2.0,0.0
14,14,PHO,Earl Clark\clarkea01,Louisville,6,261,3630,1138,778,134,.403,.328,.664,13.9,4.4,3.0,0.5,2.9,.038,-2.8,-0.8
15,15,DET,Austin Daye\dayeau01,Gonzaga,6,293,4132,1522,764,212,.402,.351,.778,14.1,5.2,2.6,0.7,4.5,.053,-2.0,0.0
16,16,CHI,James Johnson\johnsja01,Wake Forest,11,634,13081,5055,2284,1355,.477,.310,.693,20.6,8.0,3.6,2.1,24.6,.090,0.8,9.3
17,17,PHI,Jrue Holiday\holidjr01,UCLA,11,707,23508,11224,2767,4529,.452,.355,.777,33.3,15.9,3.9,6.4,43.0,.088,1.2,19.2
18,18,MIN,Ty Lawson\lawsoty01,UNC,8,551,16088,6977,1506,3316,.460,.359,.770,29.2,12.7,2.7,6.0,42.1,.126,1.4,13.6
19,19,ATL,Jeff Teague\teaguje01,Wake Forest,11,771,21214,9690,1901,4453,.445,.356,.844,27.5,12.6,2.5,5.8,50.8,.115,0.7,14.4
20,20,UTA,Eric Maynor\maynoer01,Virginia Commonwealth,5,267,3896,1141,348,760,.392,.350,.721,14.6,4.3,1.3,2.8,3.3,.041,-2.9,-0.8
21,21,NOH,Darren Collison\collida01,UCLA,10,708,20796,8857,1885,3543,.471,.394,.853,29.4,12.5,2.7,5.0,49.9,.115,0.6,13.5
22,22,POR,Victor Claver\clavevi01,,3,80,1072,258,178,56,.398,.293,.585,13.4,3.2,2.2,0.7,0.2,.011,-3.6,-0.4
23,23,SAC,Omri Casspi\casspom01,,10,588,11959,4642,2355,662,.454,.368,.678,20.3,7.9,4.0,1.1,19.6,.078,-0.8,3.5
24,24,DAL,Byron Mullens\mulleby01,Ohio State,5,189,3446,1398,790,153,.408,.319,.706,18.2,7.4,4.2,0.8,0.6,.008,-4.0,-1.8
25,25,OKC,Rodrigue Beaubois\beaubro01,,4,182,2896,1286,338,374,.439,.325,.810,15.9,7.1,1.9,2.1,4.8,.079,-0.1,1.4
26,26,CHI,Taj Gibson\gibsota01,USC,11,799,20094,7618,4998,812,.515,.220,.709,25.1,9.5,6.3,1.0,52.4,.125,-0.8,6.4
27,27,MEM,DeMarre Carroll\carrode01,Missouri,11,575,13616,5136,2446,719,.430,.358,.740,23.7,8.9,4.3,1.3,29.4,.104,0.0,6.7
28,28,MIN,Wayne Ellington\ellinwa01,UNC,11,681,14278,5461,1481,755,.408,.378,.846,21.0,8.0,2.2,1.1,18.2,.061,-1.6,1.6
29,29,LAL,Toney Douglas\douglto01,Florida State,8,394,7511,3009,875,889,.404,.354,.824,19.1,7.6,2.2,2.3,12.1,.077,-0.8,2.2
30,30,CLE,Christian Eyenga\eyengch01,,2,51,1049,320,137,40,.411,.277,.611,20.6,6.3,2.7,0.8,-0.4,-.020,-4.2,-0.6
31,31,SAC,Jeff Ayres\pendeje02,Arizona State,6,237,2322,690,632,99,.553,.400,.776,9.8,2.9,2.7,0.4,6.3,.131,-2.3,-0.2
32,32,WAS,Jermaine Taylor\tayloje02,Central Florida,2,65,786,351,108,48,.441,.284,.730,12.1,5.4,1.7,0.7,0.2,.014,-3.7,-0.3
33,33,POR,Dante Cunningham\cunnida01,Villanova,10,715,14875,4133,2676,506,.469,.345,.649,20.8,5.8,3.7,0.7,24.9,.080,-1.7,1.1
34,34,DEN,Sergio Llull\llullse01,,,,,,,,,,,,,,,,,,
35,35,DET,DaJuan Summers\summeda01,Georgetown,4,83,820,278,82,29,.384,.367,.642,9.9,3.3,1.0,0.3,-0.1,-.008,-5.8,-0.8
36,36,MEM,Sam Young\youngsa01,Pitt,4,249,3966,1436,573,180,.442,.280,.742,15.9,5.8,2.3,0.7,5.2,.063,-2.1,-0.1
37,37,SAS,DeJuan Blair\blairde01,Pitt,7,424,7054,2865,2153,349,.524,.000,.608,16.6,6.8,5.1,0.8,19.0,.129,-1.2,1.4
38,38,POR,Jon Brockman\brockjo01,Washington,3,150,1570,320,472,49,.488,.000,.618,10.5,2.1,3.1,0.3,3.7,.113,-3.9,-0.8
