;Rk;Player;Pos;Age;Tm;G;GS;MP;FG;FGA;FG%;3P;3PA;3P%;2P;2PA;2P%;eFG%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS
26;142;Luka Doncic;SG;19;DAL;72;72;32,2;7;16,5;0,427;2,3;7,1;0,327;4,7;9,3;0,503;0,497;4,8;6,7;0,713;1,2;6,6;7,8;6;1,1;0,3;3,4;1,9;21,2
27;151;Trevon Duval;PG;20;MIL;3;0;2;0,7;1;0,667;0,3;0,3;1;0,3;0,7;0,5;0,833;0;0;NA;0;0,3;0,3;0,7;0;0;0;0;1,7
28;157;Drew Eubanks;PF;21;SAS;23;0;4,9;0,7;1,1;0,577;0;0;NA;0,7;1,1;0,577;0,577;0,5;0,6;0,846;0,3;1,2;1,5;0,3;0,1;0,2;0,3;0,5;1,8
29;158;Jacob Evans;SG;21;GSW;30;1;6,8;0,6;1,8;0,34;0,1;0,5;0,267;0,5;1,3;0,368;0,377;0;0;0;0,2;0,6;0,8;0,8;0,2;0,1;0,4;0,9;1,3
30;166;Terrance Ferguson;SG;20;OKC;74;74;26,1;2,5;5,8;0,429;1,4;3,9;0,366;1,1;1,9;0,56;0,552;0,5;0,7;0,725;0,4;1,5;1,9;1;0,5;0,2;0,6;3,1;6,9
31;171;De'Aaron Fox;PG;21;SAC;81;81;31,4;6,2;13,6;0,458;1,1;2,9;0,371;5,2;10,7;0,482;0,497;3,7;5,1;0,727;0,5;3,2;3,8;7,3;1,6;0,6;2,8;2,5;17,3
32;176;Markelle Fultz;SG;20;PHI;19;15;22,5;3,4;8,2;0,419;0,2;0,7;0,286;3,2;7,4;0,433;0,432;1,1;1,9;0,568;1,4;2,3;3,7;3,1;0,9;0,3;1,3;2,7;8,2
33;185;Harry Giles;PF;20;SAC;58;0;14,1;3;6;0,503;0;0,1;0;3;5,9;0,512;0,503;1;1,6;0,637;1,1;2,7;3,8;1,5;0,5;0,4;1,3;2,6;7
34;186;Shai Gilgeous-Alexander;PG;20;LAC;82;73;26,5;4,2;8,7;0,476;0,6;1,7;0,367;3,5;7;0,503;0,512;1,9;2,4;0,8;0,7;2,1;2,8;3,3;1,2;0,5;1,7;2,1;10,8
35;216;Isaiah Hartenstein;PF;20;HOU;28;0;7,9;0,7;1,5;0,488;0,1;0,2;0,333;0,6;1,3;0,514;0,512;0,4;0,5;0,786;0,8;0,9;1,7;0,5;0,3;0,4;0,5;2;1,9
36;239;Kevin Huerter;SG;20;ATL;75;59;27,3;3,7;8,8;0,419;1,8;4,7;0,385;1,9;4,1;0,457;0,522;0,5;0,7;0,732;0,8;2,5;3,3;2,9;0,9;0,3;1,5;2,1;9,7
37;240;Isaac Humphries;C;21;ATL;5;1;11,2;1,2;4,2;0,286;0,6;2,2;0,273;0,6;2;0,3;0,357;0;0;NA;0,8;1,4;2,2;0;0,2;0;0;1,4;3
38;248;Brandon Ingram;SF;21;LAL;52;52;33,8;7;14;0,497;0,6;1,8;0,33;6,4;12,2;0,521;0,518;3,8;5,6;0,675;0,8;4,3;5,1;3;0,5;0,6;2,5;2,9;18,3
39;250;Jonathan Isaac;PF;21;ORL;75;64;26,6;3,5;8,1;0,429;1,1;3,5;0,323;2,3;4,6;0,51;0,499;1,5;1,8;0,815;1,3;4,2;5,5;1,1;0,8;1,3;1;1,9;9,6
40;253;Frank Jackson;PG;20;NOP;61;16;19,2;3,2;7,3;0,434;0,9;2,8;0,314;2,3;4,6;0,507;0,493;0,9;1,2;0,74;0,4;1,8;2,2;1,1;0,4;0;0,8;1,5;8,1
41;254;Jaren Jackson Jr.;PF;19;MEM;58;56;26,1;5,1;10,2;0,506;0,9;2,4;0,359;4,3;7,7;0,553;0,549;2,6;3,4;0,766;1,3;3,4;4,7;1,1;0,9;1,4;1,7;3,8;13,8
42;255;Josh Jackson;SG;21;PHO;79;29;25,2;4,4;10,6;0,413;0,9;2,8;0,324;3,5;7,8;0,445;0,456;1,8;2,7;0,671;0,8;3,6;4,4;2,3;0,9;0,7;2,2;2,6;11,5
43;271;Derrick Jones Jr.;SF;21;MIA;60;14;19,2;2,7;5,4;0,494;0,5;1,5;0,308;2,2;3,9;0,567;0,537;1,2;2;0,607;1,6;2,4;4;0,6;0,8;0,7;0,7;2,1;7
44;285;Kevin Knox;PF;19;NYK;75;57;28,8;4,5;12,2;0,37;1,7;4,9;0,343;2,8;7,3;0,387;0,438;2,2;3;0,717;0,8;3,7;4,5;1,1;0,6;0,3;1,5;2,3;12,8
45;286;Furkan Korkmaz;SG;21;PHI;48;7;14,1;2;5,1;0,4;1;3;0,326;1,1;2,1;0,505;0,496;0,8;0,9;0,818;0,3;1,9;2,2;1,1;0,6;0;0,5;1,3;5,8
46;290;Rodions Kurucs;SF;20;BRK;63;46;20,5;3,2;7,1;0,45;0,9;2,9;0,315;2,3;4,2;0,543;0,514;1,1;1,5;0,783;0,9;3;3,9;0,8;0,7;0,4;1,2;2,3;8,5
47;296;T.J. Leaf;PF;21;IND;58;1;9;1,7;3,2;0,541;0,1;0,5;0,258;1,6;2,6;0,599;0,563;0,3;0,5;0,613;0,7;1,4;2,2;0,4;0,2;0,3;0,2;0,6;3,9
51;326;Lauri Markkanen;PF;21;CHI;52;51;32,3;6,6;15,3;0,43;2,3;6,4;0,361;4,3;8,9;0,479;0,506;3,3;3,8;0,872;1,4;7,6;9;1,4;0,7;0,6;1,6;2,3;18,7
52;344;De'Anthony Melton;PG;20;PHO;50;31;19,7;2;5,1;0,391;0,6;1,9;0,305;1,4;3,2;0,441;0,447;0,4;0,6;0,75;0,5;2,2;2,7;3,2;1,4;0,5;1,5;2,3;5
53;345;Chimezie Metu;PF;21;SAS;29;0;5;0,7;2;0,328;0;0,1;0;0,7;1,9;0,339;0,328;0,4;0,6;0,765;0,3;0,9;1,2;0,4;0,2;0,1;0,5;0,5;1,8
54;356;Malik Monk;SG;20;CHO;73;0;17,2;3,1;8;0,387;1,5;4,5;0,33;1,6;3,5;0,461;0,48;1,2;1,4;0,882;0,2;1,7;1,9;1,6;0,5;0,3;1,2;1,5;8,9
55;367;Jamal Murray;PG;21;DEN;75;74;32,6;6,8;15,6;0,437;2;5,5;0,367;4,8;10,1;0,476;0,502;2,5;3;0,848;0,9;3,4;4,2;4,8;0,9;0,4;2,1;2;18,2
60;379;Frank Ntilikina;PG;20;NYK;43;16;21;2,2;6,6;0,337;0,8;2,7;0,287;1,4;3,9;0,371;0,395;0,5;0,7;0,767;0,3;1,7;2;2,8;0,7;0,3;1,3;2,4;5,7
61;387;Elie Okobo;PG;21;PHO;53;16;18,1;2,2;5,5;0,393;0,7;2,5;0,295;1,4;3;0,475;0,46;0,7;0,9;0,787;0,2;1,6;1,8;2,4;0,6;0,1;1,3;2,1;5,7
62;388;Josh Okogie;SG;20;MIN;74;52;23,7;2,6;6,9;0,386;0,8;2,9;0,279;1,8;4;0,464;0,445;1,6;2,2;0,728;0,6;2,4;2,9;1,2;1,2;0,4;0,9;2,2;7,7
