,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHI,Markelle Fultz\fultzma01,Washington,3,97,2493,1027,326,446,.456,.256,.668,25.7,10.6,3.4,4.6,3.2,.062,-2.0,0.0
2,2,LAL,Lonzo Ball\balllo01,UCLA,3,155,5020,1688,959,1023,.393,.343,.484,32.4,10.9,6.2,6.6,6.1,.058,0.6,3.3
3,3,BOS,Jayson Tatum\tatumja01,Duke,3,218,6936,3745,1297,470,.456,.399,.827,31.8,17.2,5.9,2.2,18.3,.127,1.5,6.2
4,4,PHO,Josh Jackson\jacksjo02,Kansas,3,174,4304,2110,756,333,.417,.298,.651,24.7,12.1,4.3,1.9,-1.9,-.021,-4.0,-2.2
5,5,SAC,De'Aaron Fox\foxde01,Kentucky,3,199,5998,3163,689,1214,.448,.335,.718,30.1,15.9,3.5,6.1,8.5,.068,-0.3,2.5
6,6,ORL,Jonathan Isaac\isaacjo01,Florida State,3,134,3481,1249,732,142,.432,.328,.794,26.0,9.3,5.5,1.1,6.5,.089,0.1,1.9
7,7,MIN,Lauri Markkanen\markkla01,Arizona,3,170,5194,2744,1291,228,.430,.356,.848,30.6,16.1,7.6,1.3,8.7,.080,-0.3,2.2
8,8,NYK,Frank Ntilikina\ntilila01,,3,178,3797,1066,385,543,.366,.311,.783,21.3,6.0,2.2,3.1,-0.9,-.011,-4.7,-2.5
9,9,DAL,Dennis Smith\smithde03,NC State,3,156,4094,1957,493,708,.400,.314,.647,26.2,12.5,3.2,4.5,-1.6,-.018,-2.7,-0.7
10,10,SAC,Zach Collins\colliza01,Gonzaga,3,146,2487,831,557,129,.442,.324,.730,17.0,5.7,3.8,0.9,3.7,.071,-2.5,-0.3
11,11,CHO,Malik Monk\monkma01,Kentucky,3,191,3281,1638,360,322,.395,.322,.850,17.2,8.6,1.9,1.7,1.0,.015,-2.9,-0.7
12,12,DET,Luke Kennard\kennalu01,Duke,3,164,3822,1613,457,353,.441,.402,.863,23.3,9.8,2.8,2.2,7.0,.088,-0.8,1.2
13,13,DEN,Donovan Mitchell\mitchdo01,Louisville,3,219,7401,4970,888,877,.440,.355,.821,33.8,22.7,4.1,4.0,15.4,.100,1.4,6.5
