,,,Round 1,Round 1,,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Advanced,Advanced,Advanced,Advanced
Rk,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP,PTS,TRB,AST,WS,WS/48,BPM,VORP
1,1,PHO,Deandre Ayton\aytonde01,Arizona,2,101,3179,1729,1089,182,.572,.000,.753,31.5,17.1,10.8,1.8,8.3,.125,0.3,1.9
2,2,SAC,Marvin Bagley\baglema01,Duke,2,75,1901,1108,568,72,.497,.288,.703,25.3,14.8,7.6,1.0,4.0,.100,-1.4,0.3
3,3,ATL,Luka Don?i?\doncilu01,,2,126,4117,3075,1065,899,.443,.322,.733,32.7,24.4,8.5,7.1,13.0,.151,5.9,8.2
4,4,MEM,Jaren Jackson\jacksja02,Michigan State,2,112,3027,1712,526,140,.485,.386,.755,27.0,15.3,4.7,1.3,6.5,.102,0.0,1.5
5,5,DAL,Trae Young\youngtr01,Oklahoma,2,141,4623,3327,556,1213,.428,.344,.847,32.8,23.6,3.9,8.6,9.2,.095,1.5,4.0
6,6,ORL,Mohamed Bamba\bambamo01,Texas,2,107,1634,624,532,81,.474,.333,.624,15.3,5.8,5.0,0.8,4.2,.124,-0.4,0.7
7,7,CHI,Wendell Carter\cartewe01,Duke,2,87,2366,939,712,129,.508,.197,.761,27.2,10.8,8.2,1.5,5.2,.105,-2.0,0.0
8,8,CLE,Collin Sexton\sextoco01,Alabama,2,147,4748,2720,440,435,.450,.392,.843,32.3,18.5,3.0,3.0,1.9,.020,-3.4,-1.7
9,9,NYK,Kevin Knox\knoxke01,Kentucky,2,140,3324,1382,519,143,.367,.337,.697,23.7,9.9,3.7,1.0,-1.2,-.017,-5.2,-2.7
10,10,PHI,Mikal Bridges\bridgmi01,Villanova,2,147,4189,1249,523,288,.466,.341,.825,28.5,8.5,3.6,2.0,7.0,.080,-0.6,1.5
11,11,CHO,Shai Gilgeous-Alexander\gilgesh01,Kentucky,2,145,4388,2105,616,478,.474,.357,.801,30.3,14.5,4.2,3.3,8.9,.097,0.6,2.9
12,12,LAC,Miles Bridges\bridgmi02,Michigan State,2,145,3691,1440,685,209,.440,.328,.788,25.5,9.9,4.7,1.4,4.5,.059,-1.7,0.3
13,13,LAC,Jerome Robinson\robinje01,Boston College,2,88,1068,313,147,84,.365,.304,.684,12.1,3.6,1.7,1.0,0.1,.006,-4.6,-0.7
14,14,DEN,Michael Porter\portemi01,Missouri,1,48,670,358,199,35,.495,.422,.767,14.0,7.5,4.1,0.7,2.0,.141,0.8,0.5
15,15,WAS,Troy Brown\browntr01,Oregon,2,113,2249,842,470,222,.441,.336,.733,19.9,7.5,4.2,2.0,2.8,.059,-1.7,0.1
16,16,PHO,Zhaire Smith\smithzh01,Texas Tech,2,13,143,48,15,12,.378,.316,.667,11.0,3.7,1.2,0.9,0.0,.011,-6.1,-0.1
17,17,MIL,Donte DiVincenzo\divindo01,Villanova,2,86,1773,685,354,167,.450,.322,.767,20.6,8.0,4.1,1.9,5.1,.137,1.1,1.4
18,18,SAS,Lonnie Walker\walkelo01,Miami (FL),2,70,885,344,132,55,.422,.405,.730,12.6,4.9,1.9,0.8,0.5,.027,-3.1,-0.3
19,19,ATL,Kevin Huerter\huertke01,Maryland,2,131,3808,1411,473,427,.416,.383,.783,29.1,10.8,3.6,3.3,3.0,.038,-2.0,0.0
20,20,MIN,Josh Okogie\okogijo01,Georgia Tech,2,136,3304,1103,486,190,.404,.274,.765,24.3,8.1,3.6,1.4,3.4,.049,-2.7,-0.6
21,21,UTA,Grayson Allen\allengr01,Duke,2,68,914,432,89,68,.412,.342,.789,13.4,6.4,1.3,1.0,0.7,.039,-4.3,-0.5
22,22,CHI,Chandler Hutchison\hutchch01,Boise State,2,72,1422,447,293,60,.458,.295,.595,19.8,6.2,4.1,0.8,1.2,.041,-3.4,-0.5
23,23,IND,Aaron Holiday\holidaa01,UCLA,2,108,2014,840,199,280,.405,.373,.844,18.6,7.8,1.8,2.6,2.6,.062,-1.6,0.2
24,24,POR,Anfernee Simons\simonan01,,2,85,1541,647,160,108,.406,.339,.787,18.1,7.6,1.9,1.3,0.4,.011,-4.4,-1.0
25,25,LAL,Moritz Wagner\wagnemo01,Michigan,2,80,1153,559,277,73,.506,.313,.815,14.4,7.0,3.5,0.9,2.0,.082,-2.6,-0.2
26,26,PHI,Landry Shamet\shamela01,Wichita State,2,126,3096,1176,224,204,.425,.410,.846,24.6,9.3,1.8,1.6,6.3,.097,-1.6,0.3
27,27,BOS,Robert Williams\williro04,Texas A&M,2,55,606,179,189,29,.690,,.575,11.0,3.3,3.4,0.5,2.6,.203,2.9,0.7
28,28,GSW,Jacob Evans\evansja02,Cincinnati,2,59,622,168,66,54,.337,.315,.833,10.5,2.8,1.1,0.9,-0.6,-.047,-7.4,-0.8
29,29,BRK,Džanan Musa\musadz01,,2,44,443,167,76,33,.366,.213,.717,10.1,3.8,1.7,0.8,-0.1,-.008,-5.0,-0.3
30,30,ATL,Omari Spellman\spellom01,Villanova,2,95,1691,642,413,94,.417,.366,.766,17.8,6.8,4.3,1.0,2.4,.068,-1.5,0.2
31,31,PHO,Élie Okobo\okoboel01,,2,107,1665,519,186,240,.395,.315,.728,15.6,4.9,1.7,2.2,0.3,.010,-4.2,-0.9
32,32,MEM,Jevon Carter\carteje01,West Virginia,2,89,1331,403,164,134,.354,.365,.825,15.0,4.5,1.8,1.5,1.0,.037,-2.1,0.0
33,33,DAL,Jalen Brunson\brunsja01,Villanova,2,130,2613,1144,303,418,.467,.352,.759,20.1,8.8,2.3,3.2,4.9,.089,-1.3,0.5
34,34,ATL,Devonte' Graham\grahade01,Kansas,2,109,2887,1362,275,592,.375,.357,.810,26.5,12.5,2.5,5.4,3.9,.064,-0.6,1.0
35,35,ORL,Melvin Frazier\frazime01,Tulane,2,25,95,33,9,2,.342,.308,.375,3.8,1.3,0.4,0.1,-0.1,-.060,-9.1,-0.2
36,36,NYK,Mitchell Robinson\robinmi01,,2,127,2772,1075,851,73,.720,,.583,21.8,8.5,6.7,0.6,12.9,.223,2.7,3.3
37,37,SAC,Gary Trent\trentga02,Duke,2,68,1170,446,99,55,.413,.374,.767,17.2,6.6,1.5,0.8,1.4,.056,-2.0,0.0
38,38,PHI,Khyri Thomas\thomakh01,Creighton,2,34,256,78,21,11,.314,.306,.600,7.5,2.3,0.6,0.3,0.0,-.005,-5.7,-0.2
39,39,PHI,Isaac Bonga\bongais01,,2,80,1145,285,208,76,.465,.349,.772,14.3,3.6,2.6,1.0,1.6,.066,-2.7,-0.2
40,40,BRK,Rodions Kurucs\kurucro01,,2,102,1795,696,343,85,.449,.333,.742,17.6,6.8,3.4,0.8,2.1,.056,-2.7,-0.3
41,41,ORL,Jarred Vanderbilt\vandeja01,Kentucky,2,28,115,36,32,5,.519,.000,.667,4.1,1.3,1.1,0.2,0.0,.014,-4.9,-0.1
42,42,DET,Bruce Brown\brownbr01,Miami (FL),2,132,3083,836,459,321,.424,.302,.743,23.4,6.3,3.5,2.4,3.6,.056,-2.2,-0.2
43,43,DEN,Justin Jackson\jacksju02,Maryland,,,,,,,,,,,,,,,,,
44,44,WAS,Issuf Sanon\sanonis01,,,,,,,,,,,,,,,,,,
45,45,BRK,Hamidou Diallo\diallha01,Kentucky,2,89,1225,423,219,39,.453,.186,.615,13.8,4.8,2.5,0.4,1.0,.038,-4.6,-0.8
46,46,HOU,De'Anthony Melton\meltode01,USC,2,102,1995,670,327,316,.407,.311,.806,19.6,6.6,3.2,3.1,1.8,.044,-1.2,0.4
47,47,LAL,Sviatoslav Mykhailiuk\mykhasv01,Kansas,2,98,1705,637,140,143,.389,.385,.767,17.4,6.5,1.4,1.5,1.5,.042,-2.7,-0.3
48,48,MIN,Keita Bates-Diop\bateske01,Ohio State,2,69,1168,409,195,47,.426,.301,.691,16.9,5.9,2.8,0.7,1.4,.060,-1.9,0.0
49,49,SAS,Chimezie Metu\metuch01,USC,2,45,218,97,62,19,.419,.000,.760,4.8,2.2,1.4,0.4,-0.1,-.012,-4.8,-0.2
50,50,IND,Alize Johnson\johnsal02,Missouri State,2,27,118,31,37,3,.355,.500,.571,4.4,1.1,1.4,0.1,0.1,.047,-6.4,-0.1
51,51,NOP,Tony Carr\carrto01,Penn State,,,,,,,,,,,,,,,,,
52,52,UTA,Vince Edwards\edwarvi01,Purdue,1,2,16,3,2,0,.250,.250,,8.0,1.5,1.0,0.0,0.0,-.014,-6.4,0.0
53,53,OKC,Devon Hall\hallde01,Virginia,1,5,20,5,1,3,.200,.000,.750,4.0,1.0,0.2,0.6,0.0,-.064,-9.7,0.0
54,54,DAL,Shake Milton\miltosh01,SMU,2,52,879,390,103,89,.467,.413,.759,16.9,7.5,2.0,1.7,2.0,.111,-1.2,0.2
55,55,CHO,Arnoldas Kulboka\kulboar01,,,,,,,,,,,,,,,,,,
56,56,PHI,Ray Spalding\spaldra01,Louisville,1,14,148,54,48,5,.532,.000,.333,10.6,3.9,3.4,0.4,0.2,.051,-5.1,-0.1
57,57,OKC,Kevin Hervey\herveke01,UT Arlington,1,7,19,2,2,1,.091,.000,,2.7,0.3,0.3,0.1,-0.2,-.471,-19.9,-0.1
58,58,DEN,Thomas Welsh\welshth01,UCLA,1,11,36,18,4,5,.538,.429,.500,3.3,1.6,0.4,0.5,0.1,.162,1.2,0.0
59,59,PHO,George King\kingge03,Colorado,1,1,6,0,1,0,,,,6.0,0.0,1.0,0.0,0.0,-.001,-7.9,0.0
60,60,PHI,Kostas Antetokounmpo\antetko01,Dayton,2,5,16,2,2,1,.000,,.500,3.2,0.4,0.4,0.2,0.0,-.127,-7.4,0.0
